tensor(3.5531, device='cuda:0')
tensor(2.5158, device='cuda:0')
tensor(5.3320, device='cuda:0')
tensor(0.7672, device='cuda:0')
tensor(0.2511, device='cuda:0')
tensor(3.7779, device='cuda:0')
tensor(0.0508, device='cuda:0')
tensor(1.7570, device='cuda:0')
tensor(0.0847, device='cuda:0')
tensor(11.2548, device='cuda:0')
tensor(5.3066, device='cuda:0')
tensor(1.2748, device='cuda:0')
tensor(4.0104, device='cuda:0')
tensor(0.4007, device='cuda:0')
tensor(0.1987, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(4.0504, device='cuda:0')
tensor(4.0165, device='cuda:0')
tensor(7.3977, device='cuda:0')
tensor(2.4698, device='cuda:0')
tensor(0.5048, device='cuda:0')
tensor(2.3743, device='cuda:0')
tensor(1.9042, device='cuda:0')
tensor(1.8386, device='cuda:0')
tensor(1.5171, device='cuda:0')
tensor(4.4380, device='cuda:0')
tensor(1.2629, device='cuda:0')
tensor(0.6075, device='cuda:0')
tensor(0.4421, device='cuda:0')
